Prestamo;N° Clientes;ID;Edad (años); Ingreso anual ;Historial crediticio; Monto del prestamo ;Plazo del préstamo (años);N° de créditos previos;Empleo;Tasa de interes del prestamo (%)
1;25;1024;60; $25.602.349 ;1; $11.468.957 ;12;2;1;20
1;26;1025;37; $20.243.280 ;1; $26.687.129 ;3;1;0;18
0;27;1026;52; $12.564.502 ;0; $15.341.442 ;15;4;0;36
1;28;1027;31; $14.891.960 ;1; $11.615.841 ;22;4;1;5
0;29;1028;23; $13.916.251 ;0; $15.137.888 ;13;1;2;5
1;30;1029;35; $31.062.147 ;1; $10.557.426 ;9;4;1;2
0;31;1030;39; $12.413.486 ;0; $13.901.748 ;5;1;2;21
1;32;1031;56; $29.065.460 ;0; $32.511.581 ;25;3;1;28
1;33;1032;18; $18.147.133 ;1; $11.373.210 ;7;1;1;18
1;34;1033;23; $27.375.958 ;1; $39.059.424 ;7;1;1;5
1;35;1034;36; $31.229.312 ;1; $13.407.983 ;3;2;1;35
1;36;1035;53; $25.846.986 ;1; $13.139.070 ;19;5;0;8
1;37;1036;59; $22.653.998 ;0; $18.795.245 ;10;1;2;16
1;38;1037;42; $29.089.427 ;1; $20.954.971 ;24;1;1;9
1;39;1038;46; $32.851.265 ;1; $29.475.684 ;10;5;2;27
1;40;1039;48; $29.946.401 ;1; $38.366.222 ;9;2;0;29
1;41;1040;21; $32.094.754 ;1; $13.887.425 ;5;5;1;12
0;42;1041;18; $14.430.359 ;0; $30.523.041 ;20;3;0;12
1;43;1042;47; $17.687.189 ;1; $18.330.209 ;4;5;2;10
1;44;1043;46; $25.139.902 ;0; $23.466.077 ;13;5;1;35
1;45;1044;65; $26.809.022 ;1; $27.671.016 ;7;4;2;11
0;46;1045;24; $24.436.558 ;0; $14.696.289 ;24;5;2;19
1;47;1046;47; $32.394.616 ;0; $10.707.950 ;8;3;1;23
1;48;1047;30; $20.739.636 ;0; $16.420.602 ;11;5;0;17
0;49;1048;62; $13.143.294 ;0; $38.394.440 ;4;1;1;14
1;50;1049;41; $17.105.011 ;1; $24.903.138 ;16;5;2;20
1;51;1050;60; $30.307.453 ;0; $22.046.183 ;18;3;0;17
1;52;1051;49; $15.478.548 ;1; $28.749.732 ;20;3;2;28
1;53;1052;28; $32.406.783 ;0; $39.015.605 ;19;4;1;36
1;54;1053;58; $33.908.282 ;1; $19.439.667 ;24;4;0;23
1;55;1054;52; $35.774.808 ;1; $32.832.797 ;10;3;2;5
1;56;1055;49; $29.092.247 ;1; $21.336.236 ;2;4;0;3
1;57;1056;26; $29.407.145 ;0; $39.129.773 ;25;4;2;34
1;58;1057;27; $12.688.522 ;1; $26.792.749 ;23;1;2;10
1;59;1058;45; $16.760.421 ;0; $10.077.191 ;22;3;2;19
1;60;1059;64; $17.788.450 ;0; $23.964.020 ;17;4;0;9
1;61;1060;63; $14.020.390 ;1; $33.964.737 ;15;3;2;18
1;62;1061;34; $27.010.243 ;1; $23.910.411 ;5;3;1;26
0;63;1062;34; $14.548.644 ;0; $15.069.407 ;23;4;0;15
1;64;1063;60; $32.738.112 ;0; $28.363.735 ;11;2;0;36
1;65;1064;21; $32.277.554 ;1; $16.654.720 ;25;5;0;9
1;66;1065;40; $32.475.400 ;1; $22.957.829 ;3;3;2;26
1;67;1066;30; $35.838.238 ;0; $29.659.742 ;11;1;1;12
1;68;1067;64; $34.821.983 ;0; $11.542.498 ;6;1;0;27
1;69;1068;44; $35.896.930 ;1; $36.635.013 ;23;3;2;27
1;70;1069;61; $32.158.756 ;1; $27.819.264 ;19;4;2;11
1;71;1070;64; $24.671.505 ;1; $17.369.218 ;18;3;0;33
1;72;1071;59; $30.816.402 ;0; $20.292.302 ;22;3;2;33
0;73;1072;23; $21.042.808 ;0; $12.329.917 ;13;4;2;7
0;74;1073;18; $19.940.003 ;0; $30.252.171 ;17;2;2;27
1;75;1074;35; $30.803.243 ;1; $27.340.380 ;4;4;2;27
1;76;1075;48; $23.074.914 ;1; $38.072.203 ;14;4;2;8
1;77;1076;48; $27.751.576 ;1; $14.439.973 ;9;2;1;20
1;78;1077;59; $16.720.603 ;1; $17.473.200 ;5;5;0;28
1;79;1078;54; $18.505.693 ;0; $28.657.475 ;11;3;0;27
1;80;1079;38; $29.929.083 ;0; $25.472.366 ;18;1;1;13
1;81;1080;39; $34.803.818 ;0; $13.062.524 ;22;4;2;8
1;82;1081;65; $27.520.161 ;0; $18.319.869 ;10;3;2;2
1;83;1082;58; $27.154.606 ;0; $21.410.163 ;11;3;2;24
1;84;1083;29; $18.101.130 ;1; $38.216.221 ;9;5;1;26
1;85;1084;32; $19.666.468 ;1; $27.765.318 ;3;4;2;17
1;86;1085;26; $28.896.434 ;1; $14.403.845 ;13;3;1;20
0;87;1086;39; $14.750.042 ;0; $35.595.612 ;11;1;1;14
1;88;1087;41; $22.563.136 ;0; $15.319.709 ;3;1;2;9
1;89;1088;28; $33.854.928 ;1; $11.649.893 ;7;5;0;18
1;90;1089;27; $22.448.201 ;0; $34.213.447 ;10;5;1;22
1;91;1090;56; $33.935.586 ;1; $36.388.464 ;17;1;2;21
1;92;1091;32; $32.555.034 ;1; $18.821.634 ;16;5;1;9
1;93;1092;24; $26.227.150 ;0; $10.202.704 ;25;4;2;10
1;94;1093;25; $20.594.173 ;1; $15.357.004 ;6;5;1;5
1;95;1094;32; $25.918.188 ;1; $24.700.854 ;22;2;1;13
1;96;1095;51; $19.617.251 ;0; $23.564.807 ;1;4;1;23
1;97;1096;55; $34.832.745 ;0; $32.984.542 ;19;4;0;25
0;98;1097;21; $24.282.925 ;0; $29.689.189 ;22;3;0;26
1;99;1098;25; $13.399.189 ;1; $29.221.701 ;21;4;0;30
1;100;1099;52; $20.988.945 ;1; $13.883.624 ;12;5;0;21
1;101;1100;64; $12.435.075 ;1; $33.451.440 ;19;3;2;25
1;102;1101;38; $18.612.816 ;0; $12.209.524 ;5;1;1;36
1;103;1102;38; $16.040.001 ;1; $34.012.767 ;23;3;0;30
1;104;1103;37; $21.012.662 ;0; $38.711.621 ;9;3;1;12
1;105;1104;50; $33.498.071 ;0; $29.295.695 ;25;3;2;27
1;106;1105;19; $12.235.609 ;1; $14.149.946 ;24;5;2;26
1;107;1106;35; $20.644.257 ;1; $10.638.602 ;6;1;1;33
1;108;1107;40; $28.798.926 ;0; $31.918.797 ;8;2;2;32
1;109;1108;33; $30.055.674 ;1; $36.026.630 ;5;3;1;18
1;110;1109;62; $17.300.129 ;1; $38.830.593 ;11;3;1;21
1;111;1110;55; $21.830.659 ;0; $29.150.821 ;2;3;0;5
1;112;1111;41; $17.989.667 ;1; $26.626.420 ;2;4;0;35
1;113;1112;35; $18.297.816 ;1; $20.317.765 ;9;5;1;6
1;114;1113;57; $31.607.324 ;1; $10.077.725 ;5;5;0;11
1;115;1114;44; $27.294.043 ;1; $11.139.828 ;22;4;2;14
0;116;1115;63; $13.953.375 ;0; $26.106.275 ;24;1;1;21
0;117;1116;24; $29.935.794 ;0; $36.622.666 ;7;5;1;2
1;118;1117;45; $21.414.873 ;1; $37.665.729 ;15;5;2;16
1;119;1118;40; $21.470.078 ;1; $15.706.157 ;20;2;0;35
1;120;1119;26; $16.413.349 ;1; $36.189.586 ;18;2;2;34
1;121;1120;59; $27.117.658 ;1; $33.155.631 ;17;3;2;21
1;122;1121;46; $19.286.451 ;1; $35.138.209 ;18;5;1;23
1;123;1122;34; $27.414.004 ;0; $12.456.195 ;22;3;2;5
0;124;1123;23; $30.755.657 ;0; $24.441.041 ;12;3;1;27
1;125;1124;30; $32.180.878 ;1; $16.855.986 ;12;1;0;15
1;126;1125;37; $33.064.355 ;1; $22.707.045 ;13;1;0;9
1;127;1126;30; $12.956.093 ;0; $11.629.017 ;2;2;0;25
0;128;1127;22; $15.084.602 ;0; $13.300.047 ;9;2;1;34
1;129;1128;59; $28.455.825 ;1; $35.253.302 ;7;2;0;34
1;130;1129;65; $21.052.885 ;0; $21.487.708 ;21;1;0;21
1;131;1130;52; $25.758.273 ;0; $10.986.823 ;14;1;2;4
0;132;1131;50; $14.191.786 ;0; $22.057.733 ;14;5;2;18
0;133;1132;56; $13.597.805 ;0; $39.814.029 ;3;1;0;18
1;134;1133;23; $15.434.478 ;0; $10.970.936 ;11;3;1;36
0;135;1134;48; $13.571.125 ;0; $33.572.555 ;2;4;1;7
1;136;1135;42; $21.164.289 ;0; $16.716.515 ;5;4;0;30
0;137;1136;20; $14.453.692 ;0; $26.188.259 ;3;3;1;36
0;138;1137;21; $31.434.550 ;0; $30.147.366 ;20;3;0;2
1;139;1138;25; $28.414.142 ;1; $36.173.970 ;17;4;0;9
1;140;1139;27; $21.748.150 ;0; $34.612.596 ;2;2;0;20
1;141;1140;36; $19.712.783 ;1; $22.916.296 ;24;1;0;28
1;142;1141;36; $20.832.639 ;1; $16.693.536 ;4;2;1;12
1;143;1142;40; $21.466.725 ;0; $14.453.430 ;24;2;0;34
1;144;1143;44; $32.379.905 ;1; $12.148.128 ;9;5;2;19
1;145;1144;64; $27.941.625 ;1; $30.841.132 ;10;3;2;13
1;146;1145;65; $17.128.665 ;1; $32.710.239 ;8;4;1;14
1;147;1146;63; $23.753.503 ;1; $26.637.655 ;1;3;0;19
1;148;1147;23; $24.959.469 ;1; $11.211.625 ;25;3;2;3
1;149;1148;43; $24.999.845 ;1; $20.391.738 ;1;2;1;24
1;150;1149;65; $31.486.240 ;0; $22.938.307 ;23;4;1;11
1;151;1150;24; $31.153.272 ;0; $10.553.131 ;6;5;2;32
0;152;1151;23; $31.126.029 ;0; $25.858.404 ;15;4;0;2
1;153;1152;63; $12.777.615 ;1; $31.799.028 ;11;3;1;21
1;154;1153;29; $27.917.513 ;0; $26.048.600 ;3;1;0;20
1;155;1154;46; $26.137.213 ;1; $37.515.255 ;23;5;2;10
1;156;1155;33; $21.479.458 ;1; $13.240.721 ;4;5;0;22
1;157;1156;28; $34.894.876 ;1; $27.722.875 ;2;2;1;36
1;158;1157;43; $31.100.980 ;0; $29.211.046 ;20;4;0;33
1;159;1158;30; $32.962.621 ;1; $26.927.758 ;6;2;0;28
1;160;1159;46; $28.732.168 ;0; $18.231.263 ;9;4;1;19
1;161;1160;43; $25.249.243 ;1; $39.699.589 ;9;3;1;8
1;162;1161;37; $30.789.666 ;0; $26.614.900 ;25;1;0;25
1;163;1162;46; $17.159.432 ;0; $13.230.469 ;22;1;1;20
1;164;1163;56; $24.821.264 ;0; $18.231.475 ;14;4;2;36
0;165;1164;20; $14.501.856 ;0; $17.148.347 ;10;1;2;32
1;166;1165;54; $22.738.834 ;0; $11.654.284 ;11;2;2;12
1;167;1166;50; $25.874.260 ;0; $11.117.256 ;5;4;2;6
1;168;1167;38; $20.604.329 ;1; $22.113.058 ;12;5;2;9
1;169;1168;55; $24.728.983 ;0; $11.054.664 ;14;4;0;18
1;170;1169;61; $29.659.985 ;0; $20.412.164 ;12;4;0;22
1;171;1170;49; $35.297.954 ;0; $31.500.239 ;21;1;2;19
1;172;1171;41; $15.913.639 ;0; $37.404.732 ;11;2;2;20
1;173;1172;26; $34.937.660 ;1; $10.063.538 ;15;5;2;6
0;174;1173;47; $14.970.603 ;0; $24.087.085 ;16;1;1;21
1;175;1174;49; $13.227.534 ;1; $21.290.603 ;13;4;0;13
1;176;1175;37; $18.657.173 ;1; $31.318.603 ;17;4;0;20
1;177;1176;42; $21.852.681 ;0; $28.339.802 ;8;4;1;6
1;178;1177;41; $20.237.537 ;0; $22.529.149 ;11;1;1;31
1;179;1178;26; $16.155.153 ;1; $12.255.582 ;4;4;0;13
1;180;1179;35; $20.811.098 ;1; $22.134.007 ;1;3;0;19
1;181;1180;59; $29.731.552 ;0; $28.971.278 ;19;5;0;19
1;182;1181;29; $20.780.523 ;1; $21.106.309 ;22;2;0;18
1;183;1182;61; $28.993.002 ;0; $15.041.415 ;25;4;2;13
1;184;1183;29; $23.997.828 ;1; $10.062.944 ;22;1;1;8
1;185;1184;39; $16.733.046 ;1; $12.489.235 ;6;2;1;2
0;186;1185;24; $27.506.459 ;0; $23.070.073 ;22;5;0;4
1;187;1186;64; $17.358.858 ;1; $32.001.935 ;24;3;0;12
1;188;1187;36; $31.736.562 ;0; $27.829.559 ;14;5;1;19
0;189;1188;46; $12.187.128 ;0; $24.222.903 ;8;3;0;28
0;190;1189;21; $14.317.529 ;0; $28.097.579 ;23;1;2;28
1;191;1190;60; $13.598.138 ;1; $38.116.502 ;14;1;2;17
1;192;1191;23; $28.202.524 ;1; $18.478.624 ;21;3;2;22
1;193;1192;30; $31.615.816 ;0; $36.385.166 ;24;2;2;30
1;194;1193;24; $14.922.700 ;1; $23.570.160 ;16;5;2;22
0;195;1194;20; $12.514.641 ;0; $25.928.409 ;18;2;1;24
1;196;1195;55; $23.717.759 ;0; $12.855.665 ;17;3;1;12
1;197;1196;26; $31.359.680 ;1; $10.904.780 ;13;3;1;15
1;198;1197;42; $28.073.508 ;0; $16.625.219 ;5;3;0;28
1;199;1198;24; $20.725.205 ;1; $36.143.049 ;9;1;2;9
1;200;1199;64; $22.996.801 ;0; $14.208.626 ;2;2;0;2
0;201;1200;22; $23.677.547 ;0; $12.592.472 ;24;3;1;28
1;202;1201;57; $16.607.952 ;0; $30.780.194 ;3;3;0;28
1;203;1202;59; $28.814.271 ;0; $15.270.876 ;10;4;1;22
0;204;1203;25; $29.665.976 ;0; $15.476.087 ;14;4;0;35
1;205;1204;24; $21.264.640 ;1; $21.571.985 ;5;1;2;7
1;206;1205;59; $30.344.795 ;0; $22.829.318 ;2;3;0;30
1;207;1206;34; $26.919.309 ;0; $36.758.293 ;18;2;2;24
1;208;1207;48; $23.527.431 ;0; $18.380.055 ;2;4;1;10
1;209;1208;46; $17.323.571 ;0; $21.118.739 ;25;4;0;11
1;210;1209;24; $19.438.981 ;1; $35.198.814 ;25;4;0;22
1;211;1210;22; $19.198.338 ;1; $16.527.521 ;16;1;2;8
1;212;1211;23; $25.993.393 ;1; $35.062.724 ;8;3;0;26
1;213;1212;61; $17.305.370 ;1; $13.084.942 ;17;3;2;21
1;214;1213;53; $28.440.779 ;1; $28.108.620 ;1;2;2;31
1;215;1214;32; $31.127.954 ;0; $30.125.949 ;4;3;2;30
0;216;1215;62; $12.034.724 ;0; $30.705.281 ;23;1;0;8
1;217;1216;18; $19.339.755 ;1; $13.639.110 ;5;3;2;12
1;218;1217;55; $19.366.033 ;0; $17.575.373 ;14;1;2;7
1;219;1218;44; $14.091.874 ;1; $12.261.498 ;5;2;1;26
1;220;1219;18; $26.359.927 ;1; $23.806.630 ;22;4;1;3
1;221;1220;46; $15.010.895 ;0; $11.098.572 ;24;3;1;21
1;222;1221;45; $17.587.850 ;0; $24.635.174 ;18;4;0;2
1;223;1222;27; $14.532.655 ;1; $12.084.737 ;18;3;0;30
1;224;1223;55; $28.227.643 ;0; $13.068.802 ;14;5;2;17
1;225;1224;52; $31.201.219 ;0; $28.167.852 ;21;5;1;11
1;226;1225;49; $21.281.040 ;0; $39.968.240 ;19;4;1;32
0;227;1226;50; $14.835.310 ;0; $27.124.065 ;9;3;0;23
1;228;1227;32; $30.192.016 ;1; $28.979.852 ;8;2;2;34
1;229;1228;23; $18.293.730 ;1; $31.565.885 ;24;3;0;14
1;230;1229;58; $23.419.429 ;0; $15.115.213 ;9;1;1;12
1;231;1230;58; $17.792.261 ;0; $13.328.361 ;14;1;2;2
1;232;1231;21; $12.397.233 ;1; $13.394.963 ;20;3;1;23
0;233;1232;22; $20.777.761 ;0; $24.987.821 ;14;1;0;27
1;234;1233;60; $25.167.852 ;0; $26.103.083 ;21;5;0;29
1;235;1234;43; $14.513.878 ;1; $38.274.767 ;5;3;0;28
0;236;1235;56; $12.328.137 ;0; $15.270.191 ;13;4;0;14
1;237;1236;64; $19.935.576 ;1; $16.449.868 ;24;1;2;13
1;238;1237;47; $33.895.262 ;1; $36.694.476 ;20;1;0;7
1;239;1238;44; $19.525.244 ;1; $26.207.176 ;4;2;0;26
1;240;1239;37; $29.637.376 ;1; $32.457.214 ;23;3;2;2
1;241;1240;18; $34.450.045 ;1; $29.230.322 ;20;4;0;8
1;242;1241;52; $14.838.461 ;1; $38.471.762 ;16;4;2;13
1;243;1242;61; $15.565.241 ;0; $20.681.565 ;23;1;1;23
1;244;1243;36; $27.719.347 ;1; $31.819.409 ;8;4;0;35
1;245;1244;58; $29.906.154 ;0; $28.104.765 ;14;5;0;14
1;246;1245;42; $35.624.691 ;0; $14.054.710 ;8;3;1;6
1;247;1246;49; $31.627.024 ;1; $12.823.875 ;14;1;2;32
0;248;1247;21; $27.074.854 ;0; $35.557.803 ;23;1;2;22
1;249;1248;43; $27.708.861 ;0; $16.651.286 ;4;4;2;24
1;250;1249;50; $30.270.807 ;0; $16.901.025 ;2;4;2;24
1;251;1250;38; $24.295.846 ;1; $32.731.988 ;8;2;2;19
1;252;1251;21; $30.677.229 ;1; $31.823.441 ;16;5;1;31
1;253;1252;55; $23.243.579 ;0; $23.194.795 ;11;5;2;2
1;254;1253;29; $25.137.461 ;0; $36.766.087 ;20;4;1;10
1;255;1254;49; $19.849.361 ;0; $17.741.922 ;12;3;2;7
0;256;1255;20; $28.506.184 ;0; $23.137.386 ;16;1;0;14
0;257;1256;18; $30.056.575 ;0; $26.404.132 ;13;3;0;36
1;258;1257;41; $31.211.256 ;0; $16.830.070 ;9;5;0;33
1;259;1258;30; $19.672.643 ;0; $38.574.417 ;20;1;2;36
1;260;1259;47; $21.396.206 ;0; $16.578.955 ;9;1;0;27
1;261;1260;50; $17.903.224 ;1; $21.267.029 ;9;1;1;11
1;262;1261;25; $29.852.224 ;1; $12.486.432 ;12;5;0;8
0;263;1262;19; $16.271.999 ;0; $17.030.588 ;4;4;2;14
1;264;1263;53; $35.226.352 ;1; $23.473.696 ;12;5;1;25
1;265;1264;42; $28.430.567 ;0; $38.903.143 ;9;2;1;18
1;266;1265;26; $31.765.051 ;0; $30.708.631 ;10;4;0;31
1;267;1266;65; $29.956.824 ;0; $12.902.986 ;10;2;0;10
1;268;1267;42; $33.902.266 ;1; $15.329.733 ;1;4;2;21
1;269;1268;24; $27.273.669 ;1; $37.297.282 ;8;4;0;21
1;270;1269;32; $17.813.690 ;1; $33.597.900 ;6;4;0;30
0;271;1270;18; $20.566.180 ;0; $33.660.412 ;15;3;1;4
1;272;1271;26; $26.150.614 ;1; $34.604.692 ;13;2;0;32
1;273;1272;48; $35.107.568 ;0; $30.760.135 ;3;3;2;23
1;274;1273;23; $17.381.315 ;1; $10.994.189 ;16;3;2;9
1;275;1274;51; $12.701.030 ;1; $32.784.879 ;25;2;0;21
1;276;1275;35; $20.459.998 ;1; $34.480.791 ;11;4;2;30
1;277;1276;27; $35.506.920 ;1; $16.169.380 ;1;1;2;12
1;278;1277;49; $27.502.287 ;0; $25.236.720 ;14;2;2;16
1;279;1278;60; $21.136.308 ;0; $13.096.758 ;1;2;1;15
1;280;1279;53; $17.428.828 ;0; $32.697.042 ;16;2;0;7
1;281;1280;37; $24.840.602 ;0; $26.190.408 ;13;4;0;28
1;282;1281;35; $34.315.992 ;0; $31.440.308 ;12;2;2;27
1;283;1282;58; $31.293.566 ;0; $20.247.880 ;11;2;2;14
1;284;1283;20; $14.062.465 ;1; $18.885.842 ;23;5;1;32
1;285;1284;63; $14.848.438 ;1; $10.354.186 ;3;1;2;17
1;286;1285;53; $15.741.561 ;1; $30.524.775 ;2;3;1;14
1;287;1286;39; $22.696.857 ;1; $24.509.977 ;23;1;2;9
1;288;1287;22; $24.951.558 ;1; $17.032.687 ;25;4;0;21
1;289;1288;36; $25.364.770 ;1; $24.277.309 ;19;4;2;6
1;290;1289;43; $33.938.694 ;1; $10.396.419 ;24;2;1;18
1;291;1290;43; $14.971.937 ;1; $20.144.234 ;18;1;0;31
1;292;1291;37; $25.114.884 ;1; $17.200.219 ;5;2;2;9
0;293;1292;51; $14.457.957 ;0; $24.036.903 ;16;1;2;19
1;294;1293;30; $31.325.346 ;0; $10.912.105 ;12;3;1;23
0;295;1294;23; $29.430.187 ;0; $20.201.085 ;20;5;2;8
1;296;1295;46; $32.365.391 ;1; $16.476.791 ;1;3;1;27
1;297;1296;51; $13.218.070 ;1; $38.527.635 ;9;2;2;4
1;298;1297;47; $34.148.417 ;1; $37.393.602 ;16;1;1;6
1;299;1298;62; $12.849.020 ;1; $32.135.491 ;9;5;0;27
1;300;1299;23; $33.224.691 ;1; $39.057.556 ;6;3;0;23
1;301;1300;57; $25.026.231 ;0; $24.895.555 ;3;1;1;21
0;302;1301;23; $23.546.035 ;0; $34.192.373 ;19;5;2;26
1;303;1302;25; $19.265.195 ;1; $38.404.588 ;10;4;1;7
0;304;1303;24; $23.484.739 ;0; $27.854.549 ;15;4;2;10
1;305;1304;47; $26.349.397 ;1; $31.059.664 ;4;2;0;10
1;306;1305;25; $32.860.365 ;1; $13.841.052 ;23;1;2;4
1;307;1306;55; $22.771.410 ;1; $28.812.264 ;23;5;0;5
1;308;1307;62; $22.164.110 ;0; $35.302.529 ;2;3;2;10
1;309;1308;37; $26.160.804 ;1; $31.367.771 ;17;3;1;33
1;310;1309;28; $23.002.121 ;1; $37.505.645 ;21;5;1;33
0;311;1310;18; $25.470.286 ;0; $12.129.771 ;3;4;2;29
1;312;1311;54; $18.561.178 ;1; $33.140.561 ;10;2;2;30
1;313;1312;28; $19.133.433 ;1; $24.013.247 ;14;3;1;30
1;314;1313;49; $12.522.835 ;1; $14.577.263 ;20;2;2;32
1;315;1314;63; $18.877.728 ;1; $39.307.003 ;8;4;1;9
1;316;1315;31; $32.709.906 ;1; $36.548.728 ;7;5;2;29
1;317;1316;46; $12.968.572 ;1; $36.776.205 ;1;1;1;19
0;318;1317;18; $14.190.982 ;0; $24.676.413 ;15;4;1;16
1;319;1318;64; $21.882.883 ;0; $16.209.445 ;12;1;1;23
1;320;1319;28; $19.070.126 ;0; $28.955.126 ;5;4;1;10
1;321;1320;47; $16.964.372 ;1; $10.676.658 ;24;5;0;17
1;322;1321;52; $28.521.959 ;0; $20.131.157 ;4;5;1;6
1;323;1322;51; $17.566.435 ;0; $24.985.550 ;21;4;1;23
1;324;1323;62; $32.078.214 ;1; $35.917.112 ;6;3;2;11
1;325;1324;53; $24.704.467 ;0; $28.865.406 ;19;2;1;6
1;326;1325;24; $19.589.969 ;1; $13.140.311 ;13;4;1;36
1;327;1326;64; $19.823.902 ;0; $35.392.635 ;16;2;2;30
1;328;1327;23; $34.314.113 ;1; $13.357.878 ;8;1;1;36
0;329;1328;22; $35.029.570 ;0; $29.935.570 ;14;4;0;35
1;330;1329;31; $27.078.720 ;1; $19.508.872 ;4;2;2;25
1;331;1330;23; $14.977.588 ;1; $29.287.386 ;21;1;2;16
1;332;1331;54; $32.428.313 ;0; $25.537.206 ;4;4;2;4
1;333;1332;33; $22.269.621 ;1; $25.749.370 ;12;3;1;8
1;334;1333;40; $31.288.965 ;0; $27.316.413 ;20;4;1;9
1;335;1334;18; $16.626.034 ;1; $14.179.321 ;18;4;0;35
0;336;1335;20; $26.691.491 ;0; $15.313.346 ;5;4;2;16
1;337;1336;54; $12.433.370 ;1; $33.682.853 ;8;4;1;12
0;338;1337;50; $12.722.579 ;0; $31.313.193 ;16;3;1;9
1;339;1338;45; $26.666.082 ;1; $23.414.346 ;10;1;0;4
1;340;1339;47; $22.229.794 ;1; $16.353.101 ;2;4;1;14
0;341;1340;34; $14.664.738 ;0; $33.063.656 ;5;5;1;36
1;342;1341;48; $19.752.781 ;1; $27.775.172 ;16;2;2;12
1;343;1342;50; $19.224.560 ;0; $17.026.487 ;8;3;2;28
1;344;1343;26; $23.974.905 ;0; $26.889.188 ;21;5;2;34
1;345;1344;35; $21.721.523 ;1; $32.407.760 ;13;1;0;30
1;346;1345;19; $14.814.421 ;1; $22.243.075 ;25;1;1;32
0;347;1346;20; $29.195.756 ;0; $34.890.882 ;8;3;1;12
1;348;1347;45; $20.955.793 ;1; $34.679.594 ;15;4;0;30
1;349;1348;57; $18.968.478 ;1; $10.583.843 ;15;5;0;27
1;350;1349;18; $29.256.881 ;1; $37.869.424 ;11;2;1;17
1;351;1350;63; $27.302.781 ;1; $26.748.320 ;5;3;2;2
0;352;1351;20; $15.124.669 ;0; $39.923.830 ;13;2;0;31
1;353;1352;19; $21.228.192 ;1; $36.182.488 ;19;5;1;8
1;354;1353;54; $26.121.282 ;1; $14.830.173 ;17;5;0;10
1;355;1354;47; $16.036.156 ;0; $23.213.512 ;3;5;2;19
1;356;1355;48; $35.129.974 ;0; $13.227.818 ;11;2;0;3
0;357;1356;24; $17.309.450 ;0; $31.433.523 ;1;3;1;31
1;358;1357;29; $33.223.918 ;0; $29.538.354 ;5;2;1;7
1;359;1358;57; $24.790.987 ;1; $12.348.208 ;7;1;0;32
1;360;1359;25; $27.218.232 ;1; $35.488.177 ;17;1;2;13
1;361;1360;21; $17.634.296 ;1; $32.960.339 ;17;2;2;31
1;362;1361;53; $25.537.471 ;1; $34.145.087 ;22;2;0;14
1;363;1362;56; $35.632.200 ;0; $30.298.993 ;11;2;1;14
1;364;1363;44; $12.895.617 ;1; $16.579.263 ;19;3;0;14
1;365;1364;52; $19.223.262 ;0; $35.593.537 ;10;3;0;16
1;366;1365;58; $34.962.432 ;0; $32.989.823 ;13;1;0;13
1;367;1366;57; $32.441.072 ;1; $15.756.109 ;4;3;2;12
0;368;1367;21; $32.354.724 ;0; $21.813.346 ;12;4;1;10
1;369;1368;53; $29.588.855 ;0; $37.663.351 ;19;5;0;29
1;370;1369;36; $30.519.079 ;0; $18.048.746 ;21;1;1;3
1;371;1370;32; $33.622.777 ;0; $30.292.119 ;13;4;2;27
1;372;1371;28; $35.618.117 ;1; $32.059.565 ;12;1;1;2
1;373;1372;48; $31.789.690 ;1; $25.793.366 ;10;2;0;2
